Monitor,Laptop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Desktop,I/O-device,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Dell 2 Desktop,Desktop,Monitor,Desktop,I/O-device,Laptop,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Monitor,Belkin Mouse Pad,Audio Cable,Laptop,Monitor,Halter Mesh Metal Monitor Stand,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Microsoft Office Home and Student 2016,Etekcity Power Extension Cord Cable,I/O-device,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,XIBERIA Gaming Headset,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Monitor,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Desktop,Laptop,Monitor,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,Apple Earpods,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Bluetooth Speaker,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Epson Printer,Microsoft Office Home and Student 2016,Desktop,Etekcity Power Extension Cord Cable,Belkin Mouse Pad,Full Motion Monitor Mount,Monitor,1TB Portable External Hard Drive,,,,,,,,,,,,,,,,,,,,,,
Monitor,Computer Game,I/O-device,Epson Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Black & Tri-color Ink,Epson Black Ink,Epson Printer,Desktop,Etekcity Power Extension Cord Cable,Laptop,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Computer Game,Desktop,Desktop,Kindle,Zombie Gaming Headset,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell 2 Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell 2 Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,I/O-device,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Laptop,Dell 2 Desktop,Computer Game,I/O-device,Mackie CR Speakers,I/O-device,Laptop,,,,,,,,,,,,,,,,,,,,,,,
Zombie Gaming Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Rokono Mini Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Panasonic In-Ear Headphone,Desktop,I/O-device,Monitor,Laptop,I/O-device,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Laptop,Laptop,Desktop,Monitor,Laptop,Monitor,Cyber Acoustics,Etekcity Power Extension Cord Cable,Zombie Gaming Headset,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,I/O-device,Desktop,Desktop,I/O-device,Apple Earpods,Desktop,1TB Portable External Hard Drive,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Desktop,I/O-device,Monitor,Laptop,USB Cable,iPad Pro,Rokono Mini Speaker,I/O-device,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,Dell 2 Desktop,Monitor,I/O-device,Zombie Gaming Headset,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,Desktop,Apple Earpods,I/O-device,iPad,DYMO Labeling Tape,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Monitor,Laptop,Desktop,Etekcity Power Extension Cord Cable,I/O-device,Laptop,Microsoft Headset,JBL Splashproof Portable Bluetooth Speaker,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,HP Wireless Printer,Epson Printer,Desktop,Belkin Mouse Pad,Laptop,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,
Dell 2 Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Dell 2 Desktop,Bose Companion Speakers,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Epson Printer,Desktop,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,Desktop,Epson Printer,Microsoft Office Home and Student 2016,Apple Earpods,JBL Splashproof Portable Bluetooth Speaker,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailihen Stereo Headphones,Laptop,I/O-device,Belkin Mouse Pad,I/O-device,Desktop,Samsung Galaxy Tablet,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,HP Wireless Printer,Brother Printer Toner,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Laptop,Desktop,Desktop,Desktop,I/O-device,Desktop,Microsoft Office Home and Student 2016,Mackie CR Speakers,Desktop,Ethernet Cable,Desktop,Monitor,Brother Printer,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,HP Wireless Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Slim 2TB Portable External Hard Drive,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell 2 Desktop,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,I/O-device,Large Mouse Pad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Desktop,Desktop,Belkin Mouse Pad,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Epson Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Monitor,Desktop,Monitor,Etekcity Power Extension Cord Cable,Belkin Mouse Pad,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,HDMI Cable 6ft,Desktop,Laptop,Desktop,Koss Home Headphones,Epson Printer,Desktop,Desktop,Smart Light Bulb,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,,Apple Earpods,Zombie Gaming Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,Computer Game,Desktop,Laptop,DYMO Label Manker,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Acoustics,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,XIBERIA Gaming Headset,I/O-device,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Laptop,HP Wireless Printer,Monitor,JBL Splashproof Portable Bluetooth Speaker,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Laptop,Monitor,HP Wireless Printer,Desktop,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Desktop,Slim 2TB Portable External Hard Drive,Koss Home Headphones,Epson Printer,Monitor,Laptop,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Desktop,Laptop,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,I/O-device,Desktop,Logitech Stereo Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,HP Black & Tri-color Ink,I/O-device,DYMO Labeling Tape,Etekcity Power Extension Cord Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Monitor,HP Wireless Printer,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Apple Earpods,Microsoft Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Google Home,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Headphones,Laptop,Epson Printer,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slim 2TB Portable External Hard Drive,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Monitor,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Headphones,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDMI Cable 6ft,Desktop,Laptop,Desktop,Monitor,I/O-device,Monitor,Laptop,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,I/O-device,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,HP Wireless Printer,Apple Earpods,I/O-device,I/O-device,I/O-device,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Wireless Printer,Sonos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Koss Home Headphones,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,I/O-device,JBL Splashproof Portable Bluetooth Speaker,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDMI Cable 6ft,Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Sonos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,Laptop,Laptop,Computer Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Black & Tri-color Ink,iPad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,HDMI Cable 6ft,Desktop,Desktop,Monitor,Laptop,Desktop,Monitor,Monitor,Desktop,I/O-device,Koss Home Headphones,Panasonic In-Ear Headphone,Desktop,Cambridge Bluetooth Speaker,Ailihen Stereo Headphones,Microsoft Office Home and Student 2016,Monitor,Desktop,I/O-device,Monitor,Laptop,I/O-device,,,,,,,,,
Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Brother Printer Toner,3TB Portable External Hard Drive,I/O-device,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Desktop,I/O-device,Belkin Mouse Pad,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Large Mouse Pad,Zombie Gaming Headset,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Dell 2 Desktop,Monitor,Desktop,HP Wireless Printer,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,HP Black & Tri-color Ink,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Bose Companion Speakers,Belkin Mouse Pad,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Large Mouse Pad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Microsoft Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Laptop,Desktop,JBL Splashproof Portable Bluetooth Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Laptop,Apple Earpods,,Brother Printer,,,,,,,,,,,,,,,,,,,,,,,,,,
Epson Black Ink,Desktop,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Apple Earpods,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Slim 2TB Portable External Hard Drive,Bose Companion Speakers,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Laptop,Desktop,Desktop,Belkin Mouse Pad,,,,,,,,,,,,,,,,,,,,,,,,,,
Slim 2TB Portable External Hard Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slim 2TB Portable External Hard Drive,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple TV,2TB Portable External Hard Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Apple Earpods,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Laptop,Laptop,Desktop,Laptop,I/O-device,Slim 2TB Portable External Hard Drive,I/O-device,Desktop,Apple TV,Canon Ink,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Panasonic In-Ear Headphone,Desktop,Apple Earpods,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Monitor,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Otium Wireless Sports Bluetooth Headphone,Desktop,Computer Game,Etekcity Power Extension Cord Cable,Smart Light Bulb,Logitech Multimedia Speakers,DYMO Labeling Tape,,,,,,,,,,,,,,,,,,,,,,,,
Sonos,Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Dell 2 Desktop,Monitor,Laptop,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Laptop,Laptop,Monitor,HP Wireless Printer,Laptop,Slim 2TB Portable External Hard Drive,Desktop,Desktop,I/O-device,Logitech Multimedia Speakers,Laptop,,,,,,,,,,,,,,,,,,,,
Desktop,Fire HD Tablet,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Slim 2TB Portable External Hard Drive,Panasonic In-Ear Headphone,Desktop,Laptop,Epson Black Ink,Halter Mesh Metal Monitor Stand,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Monitor,Monitor,Monitor,Panasonic In-Ear Headphone,Desktop,I/O-device,Desktop,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Laptop,Monitor,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Slim 2TB Portable External Hard Drive,I/O-device,I/O-device,Zombie Gaming Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,HP Black & Tri-color Ink,Laptop,Desktop,Panasonic In-Ear Headphone,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,Brother Printer Toner,Belkin Mouse Pad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Monitor,HP Wireless Printer,Desktop,I/O-device,I/O-device,Desktop,Desktop,Desktop,I/O-device,Full Motion Monitor Mount,Halter Acrylic Monitor Stand,Canon Office Printer,Brother Printer,iPad Pro,,,,,,,,,,,,,,,,
Laptop,Monitor,I/O-device,Belkin Mouse Pad,Desktop,iPad,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Laptop,Apple Earpods,Desktop,Laptop,I/O-device,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Etekcity Power Extension Cord Cable,Brother Printer,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Laptop,I/O-device,Monitor,Desktop,Monitor,I/O-device,Computer Game,Laptop,Laptop,,,,,,,,,,,,,,,,,,,,,
I/O-device,Desktop,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Apple Earpods,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Laptop,Epson Printer,JBL Splashproof Portable Bluetooth Speaker,Rokono Mini Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,I/O-device,Desktop,Apple Earpods,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Slim 2TB Portable External Hard Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Desktop,Monitor,Desktop,Panasonic In-Ear Headphone,Desktop,Laptop,Brother Printer,,,,,,,,,,,,,,,,,,,,,,,
Sonos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
